Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,1,1,CHHABILBHAI NARANBHAI PATEL,INC,60704,ABDASA,42.32,5.31,100
2012,1,2,BHANUSHALI JAYANTILAL PARSOTTAM,BJP,53091,ABDASA,37.01,23.33,100
2012,1,3,SODHA MAHESHOJI RANAJI,GPP,19631,ABDASA,13.68,10.16,100
2012,1,4,KER OSMAN LANA,IND,5051,ABDASA,3.52,2.06,100
2012,1,5,GORADIYA DAYALAL HARJI,BSP,2092,ABDASA,1.46,0.68,100
2012,1,6,MANJOTHI ABDULSATAR ISHAK,LJP,1122,ABDASA,0.78,0.05,100
2012,1,7,MANDHRA HUSAIN HAJIMAMAD,RPI(A),1045,ABDASA,0.73,0.23,100
2012,1,8,AMRUTLAL LADHABHAI PATEL,JD(U),715,ABDASA,0.5,0,100
2012,2,1,CHHEDA TARACHAND JAGSHIBHAI,BJP,61984,MANDVI,44.44,6.1,79.88906089
2012,2,2,PARMAR KISHORSINH RAJENDRASINH,INC,53478,MANDVI,38.34,29.22,79.88906089
2012,2,3,GADHAVI VIJAYKUMAR KARASANBHAI,GPP,12720,MANDVI,9.12,6.52,79.88906089
2012,2,4,MAHESHWARI NARANBHAI VELJIBHAI,BSP,3628,MANDVI,2.6,0.15,79.88906089
2012,2,5,VELANI SHANTILAL KARAMASHI,IND,3422,MANDVI,2.45,1.2,79.88906089
2012,2,6,DHRUIYA GULAMHUSAIN SALEMAMAD,IND,1752,MANDVI,1.26,0.85,79.88906089
2012,2,7,GADHAVI RAM DHANRAJ,IND,560,MANDVI,0.4,0,79.88906089
2012,2,8,AYAR RAGHUBHAI KANABHAI,IND,555,MANDVI,0.4,0.05,79.88906089
2012,2,9,BATIYA DEVDAS VALABHAI,RPI(A),491,MANDVI,0.35,0.02,79.88906089
2012,2,10,SUMRA ABDULRAJAK KASAM,LJP,466,MANDVI,0.33,0.02,79.88906089
2012,2,11,SANGHAR LAKHAMASHI MITHUBHAI,JD(U),436,MANDVI,0.31,0,79.88906089
