party,ac_no_2012,ac_name_2012
BJP,79,JAMNAGAR SOUTH
BJP,55,SABARMATI
BJP,44,Ellisbridge
BJP,56,ASARWA
BJP,52,Jamalpur-Khadia
BJP,53,Maninagar
BJP,47,Naroda
BJP,142,SAYAJIGANJ
BJP,144,RAOPURA
BJP,167,Surat West
BJP,168,OLPAD
BJP,168,CHORASI
BJP,112,Anand
BJP,153,Bharuch
BJP,62,Wadhwan
BJP,65,Morvi
BJP,175,Navsari
BJP,179,Valsad
BJP,25,MEHSANA
BJP,154,ANKLESHWAR
BJP,18,Patan
BJP,108,Khambhat
BJP,81,Khambhalia
BJP,21,Unjha
BJP,22,Visnagar
BJP,176,GANDEVI
BJP,88,Keshod
BJP,76,KALAWAD
BJP,28,Idar (SC)
BJP,100,TALAJA
BJP,57,Daskroi
BJP,92,KODINAR
BJP,66,Tankara
BJP,127,Kalol
BJP,131,Limkheda (ST)
INC,118,Mahudha
INC,72,Jasdan
INC,29,Khedbrahma(ST)
INC,109,BORSAD
